Wall time          ,Step ,Value
1701666099.6230414 ,   4 , 1.7578125
1701666103.5388443 ,  14 , 3.515625
1701666103.9510624 ,  15 , 2.9296875
1701666105.1149561 ,  18 , 0.9765625
1701666118.4640222 ,  26 , 1.953125
1701666118.8657188 ,  27 , 3.125
1701666137.9345148 ,  40 , 3.515625
1701666140.8195198 ,  47 , 3.7109375
1701666141.2185469 ,  48 , 3.90625
1701666141.6189952 ,  49 , 3.7109375
1701666161.1391776 ,  62 , 4.6875
1701666161.539692  ,  63 , 4.6875
1701666163.167891  ,  67 , 4.4921875
1701666169.0678332 ,  70 , 3.515625
1701666169.4601796 ,  71 , 4.1015625
1701666171.808605  ,  77 , 5.6640625
1701666183.5190527 ,  82 , 5.859375
1701666186.3668666 ,  89 , 3.125
1701666195.0087197 ,  99 , 7.2265625
1701666206.2001755 , 103 , 8.203125
1701666207.811066  , 107 ,13.28125
1701666227.3066738 , 121 ,13.28125
1701666228.9359682 , 125 ,13.8671875
1701666229.3507993 , 126 ,15.4296875
1701666230.1610267 , 128 ,10.7421875
1701666235.2502062 , 130 ,13.4765625
1701666237.5815012 , 136 ,15.625
1701666250.3545754 , 144 ,12.890625
1701666251.180608  , 146 ,18.359375
1701666251.5828414 , 147 ,18.75
1701666257.480207  , 150 ,20.3125
1701666260.2471015 , 157 ,15.625
1701666271.2938678 , 160 ,25.0
1701666272.1257646 , 162 ,24.21875
1701666272.9309456 , 164 ,18.9453125
1701666280.3825402 , 172 ,19.3359375
1701666282.3599887 , 177 ,24.4140625
1701666294.4990325 , 184 ,28.90625
1701666301.8241255 , 191 ,28.3203125
1701666302.2075899 , 192 ,28.7109375
1701666316.2825034 , 203 ,25.0
1701666317.10232   , 205 ,32.8125
1701666324.7521448 , 213 ,25.9765625
1701666340.5521545 , 229 ,31.4453125
1701666361.3103356 , 244 ,38.28125
1701666361.7104504 , 245 ,31.0546875
1701666371.992557  , 258 ,36.1328125
1701666372.3757198 , 259 ,36.5234375
1701666391.193404  , 271 ,40.234375
1701666392.3770483 , 274 ,42.578125
1701666405.48217   , 282 ,41.2109375
1701666406.6890876 , 285 ,42.96875
1701666407.9145808 , 288 ,41.015625
1701666413.1405113 , 290 ,37.3046875
1701666415.0971608 , 295 ,39.84375
1701666415.861964  , 297 ,41.6015625
1701666430.378458  , 308 ,38.671875
1701666435.8015435 , 312 ,47.0703125
1701666437.744975  , 316 ,44.7265625
1701666438.529323  , 318 ,47.265625
1701666438.9154398 , 319 ,42.1875
1701666450.1734467 , 322 ,41.796875
1701666473.6816936 , 345 ,50.9765625
1701666474.0851483 , 346 ,44.921875
1701666484.1425672 , 358 ,45.3125
1701666496.0412962 , 364 ,52.5390625
1701666496.444439  , 365 ,50.5859375
1701666496.8523614 , 366 ,49.21875
1701666506.4777875 , 378 ,49.609375
1701666519.2586694 , 386 ,45.703125
1701666525.585749  , 390 ,53.7109375
1701666526.3706408 , 392 ,45.8984375
1701666528.349909  , 397 ,47.8515625
1701666540.2083087 , 402 ,52.9296875
1701666541.0366623 , 404 ,52.1484375
1701666549.8616266 , 415 ,47.65625
1701666561.8521142 , 421 ,58.984375
1701666562.252453  , 422 ,50.5859375
1701666572.1628182 , 436 ,50.78125
1701666572.5813627 , 437 ,54.6875
1701666573.3654394 , 439 ,55.6640625
1701666585.8189952 , 446 ,55.859375
1701666592.978392  , 452 ,55.2734375
1701666605.784731  , 461 ,60.3515625
1701666607.4261708 , 465 ,51.171875
1701666608.6861122 , 468 ,56.640625
1701666613.9256315 , 470 ,57.8125
1701666615.881396  , 474 ,53.125
1701666616.2628984 , 475 ,59.765625
1701666627.5852842 , 480 ,58.984375
1701666627.9895537 , 481 ,55.859375
1701666630.423425  , 487 ,55.2734375
1701666659.1202283 , 510 ,61.1328125
1701666659.8900394 , 512 ,67.7734375
1701666660.2729795 , 513 ,64.6484375
1701666660.6720676 , 514 ,59.765625
1701666661.824826  , 517 ,56.640625
1701666662.587297  , 519 ,61.9140625
1701666683.370793  , 533 ,53.90625
1701666683.7656739 , 534 ,61.328125
1701666684.5484612 , 536 ,59.5703125
1701666685.3563788 , 538 ,61.1328125
1701666695.756626  , 540 ,55.46875
1701666697.3984623 , 544 ,59.765625
1701666698.234337  , 546 ,66.6015625
1701666704.349548  , 550 ,61.5234375
1701666705.169918  , 552 ,58.59375
1701666706.730248  , 556 ,64.0625
1701666718.7713077 , 562 ,65.625
1701666719.580332  , 564 ,55.859375
1701666721.2158058 , 568 ,60.546875
1701666742.9346154 , 584 ,59.765625
1701666749.9403934 , 590 ,62.3046875
1701666751.5023444 , 594 ,56.25
1701666752.3039773 , 596 ,63.0859375
1701666773.5160363 , 613 ,59.5703125
1701666773.9006128 , 614 ,60.3515625
1701666787.1435428 , 622 ,63.4765625
1701666787.5478745 , 623 ,57.8125
1701666789.5979328 , 628 ,62.5
1701666789.9998517 , 629 ,59.375
1701666797.888225  , 637 ,61.71875
1701666809.4325204 , 643 ,62.3046875
1701666809.8338044 , 644 ,61.1328125
1701666811.9103925 , 649 ,61.9140625
1701666820.1725566 , 658 ,58.984375
1701666831.1078143 , 660 ,63.8671875
1701666834.0567358 , 667 ,63.0859375
1701666841.85156   , 675 ,61.9140625
1701666842.235017  , 676 ,63.671875
1701666855.6098647 , 684 ,59.1796875
1701666863.2234373 , 692 ,60.546875
1701666864.0289729 , 694 ,59.1796875
1701666885.2932951 , 710 ,60.7421875
1701666899.5011427 , 721 ,60.15625
1701666900.3310413 , 723 ,60.15625
1701666901.1670914 , 725 ,59.1796875
1701666902.4277232 , 728 ,56.25
1701666908.2676742 , 731 ,61.71875
1701666908.6645741 , 732 ,65.625
1701666923.2411547 , 744 ,53.125
1701666945.1218855 , 764 ,54.8828125
1701666953.8939157 , 775 ,57.03125
1701666954.3062904 , 776 ,57.2265625
1701666966.122018  , 782 ,63.4765625
1701666968.562561  , 788 ,62.5
1701666989.339516  , 804 ,60.15625
1701666989.7415147 , 805 ,63.28125
1701666990.5808506 , 807 ,55.46875
1701666996.2440484 , 810 ,55.2734375
1701666999.986885  , 819 ,58.7890625
1701667020.134979  , 832 ,55.6640625
1701667033.452479  , 840 ,64.453125
1701667034.7068439 , 843 ,55.6640625
1701667044.7869267 , 857 ,58.984375
1701667056.2436812 , 862 ,58.7890625
1701667057.8631468 , 866 ,60.7421875
1701667064.818286  , 871 ,61.328125
1701667080.55296   , 886 ,62.890625
1701667088.5305188 , 895 ,54.4921875
1701667089.3072402 , 897 ,58.203125
1701667100.8725104 , 901 ,57.421875
1701667103.7464678 , 908 ,56.8359375
1701667131.5749736 , 930 ,61.5234375
1701667132.569923  , 932 ,53.90625
1701667147.0361812 , 942 ,55.859375
1701667149.9284985 , 949 ,61.1328125
1701667169.7282698 , 963 ,61.328125
1701667181.1427834 , 979 ,58.7890625
1701667192.0105433 , 982 ,58.3984375
1701667200.3663244 , 992 ,59.375
1701667201.1432564 , 994 ,62.109375
1701667203.1092255 , 999 ,61.5234375
1701667214.9013846 ,1002 ,58.984375
1701667215.706807  ,1004 ,58.0078125
1701667224.3351572 ,1015 ,62.890625
1701667237.835011  ,1022 ,60.3515625
1701667239.5000334 ,1026 ,60.7421875
1701667240.319887  ,1028 ,66.796875
1701667247.9431858 ,1037 ,57.6171875
1701667270.280316  ,1056 ,64.6484375
1701667290.8893971 ,1070 ,64.453125
1701667291.2994704 ,1071 ,66.2109375
1701667292.084506  ,1073 ,64.453125
1701667293.669149  ,1077 ,65.8203125
1701667306.8344893 ,1086 ,59.5703125
1701667316.330026  ,1098 ,57.421875
1701667327.9803798 ,1102 ,66.796875
1701667328.7832189 ,1104 ,66.40625
1701667330.025298  ,1107 ,58.203125
1701667330.8309088 ,1109 ,67.7734375
1701667336.12417   ,1111 ,70.1171875
1701667351.144854  ,1121 ,64.453125
1701667352.7752194 ,1125 ,64.0625
1701667353.1757305 ,1126 ,62.109375
1701667360.52762   ,1132 ,63.671875
1701667361.340069  ,1134 ,64.453125
1701667363.3222158 ,1139 ,64.453125
1701667377.2487004 ,1146 ,62.5
1701667384.1583238 ,1151 ,71.484375
1701667384.5412471 ,1152 ,64.84375
1701667399.3983285 ,1164 ,64.2578125
1701667408.508163  ,1174 ,69.921875
1701667409.3062813 ,1176 ,68.5546875
1701667409.708489  ,1177 ,64.453125
1701667422.2868965 ,1184 ,71.09375
1701667424.3353474 ,1189 ,69.7265625
1701667430.42049   ,1193 ,69.921875
1701667430.8040607 ,1194 ,65.8203125
1701667445.4187155 ,1206 ,64.0625
1701667453.410492  ,1214 ,68.359375
1701667454.9558873 ,1218 ,68.9453125
1701667467.390988  ,1223 ,68.1640625
1701667468.1963933 ,1225 ,70.1171875
1701667490.0017776 ,1244 ,66.40625
1701667490.8749287 ,1246 ,68.9453125
1701667497.2343612 ,1251 ,69.53125
1701667497.648791  ,1252 ,67.578125
1701667498.4234657 ,1254 ,67.96875
1701667499.6047947 ,1257 ,68.9453125
1701667510.6991754 ,1261 ,67.578125
1701667513.1884644 ,1267 ,68.9453125
1701667519.3415048 ,1271 ,74.8046875
1701667521.3230727 ,1276 ,72.0703125
1701667533.3333378 ,1282 ,73.2421875
1701667534.6030922 ,1285 ,74.0234375
1701667541.0665214 ,1290 ,73.6328125
1701667542.254362  ,1293 ,73.046875
1701667544.2098906 ,1298 ,68.75
1701667555.4875581 ,1302 ,74.21875
1701667557.1263278 ,1306 ,68.9453125
1701667566.038705  ,1315 ,75.390625
1701667579.128808  ,1322 ,71.875
1701667580.367765  ,1325 ,74.0234375
1701667580.8090863 ,1326 ,70.1171875
1701667588.8588667 ,1335 ,70.3125
1701667602.907638  ,1345 ,73.828125
1701667623.4630938 ,1360 ,66.796875
1701667625.1502073 ,1364 ,70.5078125
1701667633.97671   ,1375 ,75.0
1701667634.3599546 ,1376 ,68.75
1701667645.4512537 ,1380 ,72.65625
1701667656.3310506 ,1393 ,72.4609375
1701667687.7182493 ,1417 ,73.2421875
1701667717.2236426 ,1436 ,71.484375
1701667719.4044461 ,1438 ,72.65625
1701667720.4571462 ,1439 ,77.9296875
1701667739.6917148 ,1449 ,71.6796875
1701667746.954077  ,1457 ,71.09375
1701667747.4738164 ,1458 ,73.2421875
1701667762.0137372 ,1461 ,76.171875
1701667773.9222162 ,1474 ,74.4140625
1701667776.1939738 ,1476 ,71.6796875
1701667798.3095503 ,1487 ,79.1015625
1701667801.7897556 ,1490 ,73.046875
1701667805.3243165 ,1494 ,72.8515625
1701667807.8762834 ,1498 ,73.046875
1701667823.615701  ,1502 ,74.0234375
1701667828.201333  ,1509 ,74.609375
1701667829.983898  ,1510 ,72.8515625
1701667833.0470457 ,1513 ,73.2421875
1701667836.0219052 ,1516 ,76.3671875
1701667857.6578448 ,1528 ,72.265625
1701667864.388128  ,1534 ,75.1953125
1701667866.4902663 ,1538 ,71.484375
1701667886.2885559 ,1548 ,75.9765625
1701667891.5825322 ,1551 ,74.21875
1701667915.4298153 ,1565 ,74.21875
1701667918.5227714 ,1568 ,70.1171875
1701667922.6467307 ,1573 ,71.2890625
1701667924.2981427 ,1576 ,68.1640625
1701667943.4703732 ,1585 ,69.921875
1701667954.706778  ,1596 ,72.4609375
1701667969.6777618 ,1601 ,70.1171875
1701667971.848237  ,1603 ,72.65625
1701668001.5603957 ,1627 ,72.0703125
1701668010.696518  ,1635 ,73.828125
1701668011.4790468 ,1637 ,68.9453125
1701668026.2922337 ,1640 ,72.65625
1701668030.7971337 ,1646 ,71.484375
1701668031.4668224 ,1647 ,71.484375
1701668039.892789  ,1654 ,76.953125
1701668058.998525  ,1662 ,71.09375
1701668063.4352303 ,1666 ,66.40625
1701668067.5134282 ,1670 ,70.8984375
1701668071.8200743 ,1677 ,71.2890625
1701668073.784623  ,1679 ,69.7265625
1701668090.4600353 ,1685 ,70.703125
1701668101.0522    ,1694 ,67.3828125
1701668119.1734095 ,1702 ,74.4140625
1701668121.2919195 ,1704 ,70.703125
1701668124.651545  ,1707 ,70.1171875
1701668127.268793  ,1710 ,68.75
1701668128.0107312 ,1711 ,72.0703125
1701668132.4933014 ,1718 ,68.5546875
1701668147.556901  ,1722 ,69.3359375
1701668148.580534  ,1723 ,66.9921875
1701668154.975155  ,1730 ,70.703125
1701668164.4239414 ,1739 ,67.3828125
1701668178.7958167 ,1743 ,71.09375
1701668181.1735203 ,1745 ,64.84375
1701668190.1175272 ,1754 ,72.65625
1701668210.4761467 ,1765 ,70.8984375
1701668219.7079191 ,1775 ,73.828125
1701668221.705155  ,1777 ,70.8984375
1701668238.7030907 ,1784 ,68.1640625
1701668242.8960779 ,1789 ,70.3125
1701668247.7827513 ,1792 ,66.2109375
1701668265.3491957 ,1800 ,65.625
1701668283.593234  ,1819 ,75.1953125
1701668307.0643208 ,1830 ,71.6796875
1701668311.2699652 ,1838 ,65.8203125
1701668330.4108937 ,1847 ,64.2578125
1701668335.6319413 ,1851 ,70.5078125
1701668355.3502405 ,1860 ,69.921875
1701668360.0957835 ,1865 ,72.8515625
1701668361.190877  ,1866 ,69.140625
1701668362.3122268 ,1867 ,71.6796875
1701668387.4310892 ,1883 ,79.1015625
1701668390.373025  ,1888 ,70.3125
1701668402.5285769 ,1899 ,73.4375
1701668415.9112651 ,1902 ,73.046875
1701668419.6006536 ,1908 ,77.734375
1701668420.6777146 ,1909 ,66.9921875
1701668426.454342  ,1913 ,74.0234375
1701668429.5723836 ,1918 ,70.1171875
1701668446.9072227 ,1924 ,71.2890625
1701668447.6254475 ,1925 ,76.5625
1701668459.3479059 ,1936 ,73.4375
1701668473.7627175 ,1940 ,75.390625
1701668474.4719565 ,1941 ,67.578125
1701668477.5608494 ,1945 ,71.484375
1701668480.2497654 ,1947 ,70.3125
1701668488.287981  ,1956 ,73.6328125
1701668502.3919559 ,1960 ,75.78125
1701668503.5488563 ,1961 ,75.78125
1701668505.623737  ,1963 ,75.0
1701668506.6384447 ,1964 ,81.4453125
1701668508.0062966 ,1966 ,71.2890625
1701668519.290244  ,1977 ,70.1171875
1701668521.401252  ,1979 ,74.609375
1701668537.693204  ,1987 ,72.0703125
1701668538.789081  ,1988 ,72.0703125
1701668544.9041996 ,1991 ,80.078125
1701668597.5556772 ,2026 ,75.78125
1701668628.3500347 ,2047 ,79.296875
1701668638.0852582 ,2055 ,74.8046875
1701668660.896608  ,2067 ,77.34375
1701668664.4794185 ,2070 ,72.265625
1701668670.0552    ,2079 ,75.9765625
1701668690.5163956 ,2089 ,77.5390625
1701668697.4850285 ,2097 ,75.9765625
1701668711.4893398 ,2100 ,79.296875
1701668713.510445  ,2103 ,72.4609375
1701668718.0836194 ,2109 ,78.515625
1701668724.7809424 ,2114 ,78.90625
1701668725.4866312 ,2115 ,79.6875
1701668727.3619683 ,2119 ,80.46875
1701668740.3806496 ,2120 ,75.0
1701668746.752236  ,2127 ,74.21875
1701668756.0007288 ,2136 ,75.9765625
1701668758.9786644 ,2139 ,78.125
1701668787.1712532 ,2159 ,80.859375
1701668807.7536654 ,2169 ,83.3984375
1701668833.4794595 ,2187 ,81.640625
1701668842.3922365 ,2194 ,74.8046875
1701668859.6310928 ,2201 ,78.7109375
1701668867.9932952 ,2209 ,79.1015625
1701668869.3841577 ,2211 ,78.515625
1701668871.418248  ,2215 ,82.6171875
1701668888.886932  ,2221 ,80.6640625
1701668891.5106528 ,2225 ,79.1015625
1701668901.8119829 ,2236 ,79.6875
1701668903.6226366 ,2239 ,76.7578125
1701668920.1727657 ,2244 ,81.8359375
1701668932.8485615 ,2257 ,80.2734375
1701668977.0856829 ,2281 ,79.4921875
1701669006.996635  ,2300 ,80.859375
1701669010.1107283 ,2305 ,82.2265625
1701669010.5481324 ,2306 ,78.7109375
1701669020.7913544 ,2316 ,80.6640625
1701669023.3043108 ,2319 ,78.7109375
1701669040.250855  ,2324 ,80.6640625
1701669047.9687967 ,2332 ,78.90625
1701669069.7801578 ,2342 ,79.8828125
1701669080.1206775 ,2352 ,75.1953125
1701669084.8065367 ,2359 ,80.2734375
1701669109.627081  ,2373 ,75.390625
1701669134.3143864 ,2389 ,78.90625
1701669140.017412  ,2393 ,76.171875
1701669140.6088536 ,2394 ,78.90625
1701669141.9977515 ,2397 ,73.4375
1701669143.1381845 ,2398 ,75.0
1701669196.272607  ,2428 ,72.65625
1701669198.9498122 ,2431 ,80.078125
1701669201.4447298 ,2435 ,78.125
1701669201.9044867 ,2436 ,77.34375
1701669217.4978304 ,2441 ,80.46875
1701669229.646973  ,2454 ,80.46875
1701669249.53075   ,2462 ,77.5390625
1701669251.6553557 ,2465 ,76.171875
1701669282.0369282 ,2485 ,71.2890625
1701669286.8979573 ,2493 ,73.828125
1701669292.2085347 ,2498 ,70.8984375
1701669305.618052  ,2500 ,75.1953125
1701669307.7250178 ,2503 ,77.9296875
1701669308.7620504 ,2505 ,77.1484375
1701669309.4288404 ,2506 ,74.0234375
1701669320.8050988 ,2517 ,77.9296875
1701669321.2212121 ,2518 ,74.21875
1701669321.6449325 ,2519 ,68.359375
1701669336.2378623 ,2521 ,67.3828125
1701669338.4284468 ,2523 ,74.8046875
1701669342.4689584 ,2528 ,72.265625
1701669344.1335027 ,2530 ,69.53125
1701669352.814954  ,2538 ,70.5078125
1701669399.8289585 ,2565 ,76.953125
1701669400.496035  ,2566 ,71.6796875
1701669412.5370827 ,2577 ,72.4609375
1701669413.5071545 ,2578 ,72.265625
1701669433.0399947 ,2588 ,74.609375
1701669434.066345  ,2589 ,74.0234375
1701669438.9342003 ,2592 ,75.9765625
1701669443.2060952 ,2599 ,69.53125
1701669460.6639903 ,2606 ,72.65625
1701669474.4253507 ,2619 ,71.484375
1701669494.3473003 ,2627 ,73.828125
1701669495.438703  ,2628 ,72.8515625
1701669500.7205606 ,2635 ,74.4140625
1701669501.9441772 ,2638 ,77.734375
1701669502.6886544 ,2639 ,76.5625
1701669515.7495916 ,2640 ,72.8515625
1701669519.147276  ,2643 ,75.78125
1701669546.0868554 ,2662 ,74.609375
1701669554.6843574 ,2670 ,76.3671875
1701669555.7078288 ,2671 ,74.21875
1701669557.6667614 ,2674 ,77.1484375
1701669574.2039104 ,2681 ,73.828125
1701669577.168263  ,2684 ,74.8046875
1701669578.343209  ,2686 ,79.296875
1701669580.081525  ,2689 ,80.078125
1701669584.472996  ,2693 ,74.4140625
1701669604.4421327 ,2702 ,77.9296875
1701669608.2024002 ,2708 ,77.1484375
1701669615.355705  ,2713 ,74.21875
1701669617.6498725 ,2717 ,77.1484375
1701669619.3330567 ,2719 ,76.7578125
1701669639.0000446 ,2729 ,74.21875
1701669640.91892   ,2730 ,74.21875
1701669645.709279  ,2734 ,75.1953125
1701669650.8015704 ,2739 ,76.3671875
1701669663.979936  ,2740 ,77.1484375
1701669664.835718  ,2741 ,77.34375
1701669666.442349  ,2744 ,77.9296875
1701669676.151873  ,2753 ,75.78125
1701669676.8581972 ,2754 ,76.3671875
1701669677.3596168 ,2755 ,75.5859375
1701669693.035879  ,2760 ,77.5390625
1701669696.806497  ,2765 ,74.8046875
1701669698.6398284 ,2768 ,73.2421875
1701669703.7352464 ,2771 ,75.9765625
1701669705.827348  ,2773 ,79.4921875
1701669707.8849607 ,2775 ,78.3203125
1701669710.1995845 ,2778 ,75.78125
1701669729.4759512 ,2785 ,77.1484375
1701669738.3445091 ,2797 ,81.8359375
1701669740.314837  ,2799 ,78.7109375
1701669765.691138  ,2812 ,81.25
1701669766.4558194 ,2813 ,81.640625
1701669786.8160503 ,2824 ,79.4921875
1701669797.147635  ,2834 ,81.25
1701669801.6254501 ,2838 ,74.0234375
1701669817.749574  ,2844 ,76.3671875
1701669825.9771883 ,2851 ,79.296875
1701669826.4329965 ,2852 ,79.296875
1701669844.0884023 ,2861 ,80.859375
1701669845.2114892 ,2862 ,73.4375
1701669871.9485617 ,2881 ,82.421875
1701669872.665461  ,2882 ,79.6875
1701669882.5800936 ,2891 ,81.0546875
1701669883.8851895 ,2893 ,80.2734375
1701669884.6890376 ,2895 ,79.4921875
1701669903.390464  ,2903 ,81.0546875
1701669911.3434331 ,2911 ,80.46875
1701669915.5402706 ,2915 ,81.25
1701669918.1822457 ,2918 ,80.46875
1701669931.4602535 ,2920 ,80.859375
1701669932.2833364 ,2921 ,81.640625
1701669935.173712  ,2924 ,78.7109375
1701669941.8341706 ,2930 ,81.0546875
1701669945.136217  ,2934 ,81.640625
1701669945.6796124 ,2935 ,84.9609375
1701669969.0532784 ,2949 ,83.3984375
1701669970.914913  ,2952 ,75.390625
1701669972.9198647 ,2955 ,78.90625
1701669991.9646642 ,2962 ,84.375
1701669993.5832822 ,2965 ,83.3984375
1701669994.460347  ,2967 ,80.6640625
1701670002.735092  ,2973 ,78.90625
